Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 17:58:19,27-11-2024 17:58:19,0.000s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 17:58:19,27-11-2024 17:58:19,0.046s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 17:58:19,27-11-2024 17:58:19,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:58:19,27-11-2024 17:58:24,5.007s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:58:24,27-11-2024 17:58:24,0.078s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:58:24,27-11-2024 17:58:27,3.006s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 17:58:27,27-11-2024 17:58:27,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,27-11-2024 17:58:27,27-11-2024 17:58:27,0.063s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:58:27,27-11-2024 17:58:31,4.009s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,27-11-2024 17:58:31,27-11-2024 17:58:32,0.036s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:58:32,27-11-2024 17:58:42,10.005s,PASSED
