Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (get(""name"").equals(product.ProductDetail.getProductName()))",Chrome 131.0.0.0,,,02-01-2025 21:18:13,02-01-2025 21:18:13,0.092s,PASSED
product.ProductDetail.selectProductColorWithPosition(1),Chrome 131.0.0.0,Add product to cart of the same color and size that was previously added,,02-01-2025 21:18:13,02-01-2025 21:18:16,2.649s,PASSED
product.ProductDetail.selectProductSizeWithPosition(1),Chrome 131.0.0.0,,,02-01-2025 21:18:16,02-01-2025 21:18:18,2.533s,PASSED
"click(findTestObject(""Object Repository/pages/product_detail_page/add_to_cart_button""))",Chrome 131.0.0.0,,,02-01-2025 21:18:18,02-01-2025 21:18:19,0.461s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,Handle toast message after adding product to cart,,02-01-2025 21:18:19,02-01-2025 21:18:20,1.355s,PASSED
"common.UtilKeyword.takeScreenShot(""added_from_product_detail_page"")",Chrome 131.0.0.0,Take screenshot,,02-01-2025 21:18:20,02-01-2025 21:18:20,0.249s,PASSED
"click(findTestObject(""Object Repository/common/icon/cart_icon""))",Chrome 131.0.0.0,Go to cart,,02-01-2025 21:18:20,02-01-2025 21:18:28,7.072s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,02-01-2025 21:18:28,02-01-2025 21:18:31,3.071s,PASSED
addedProductProperties = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,Verify added product information in cart,,02-01-2025 21:18:31,02-01-2025 21:18:31,0.000s,PASSED
"addedProductProperties.addProperty(""xpath"", EQUALS, ""//*[*[text()='"" + selectedProduct.get(""name"") + ""']]/following-sibling::div"")",Chrome 131.0.0.0,,,02-01-2025 21:18:31,02-01-2025 21:18:31,0.000s,PASSED
verifyElementVisible(addedProductProperties),Chrome 131.0.0.0,,,02-01-2025 21:18:31,02-01-2025 21:18:31,0.605s,PASSED
logInfo(getText(addedProductProperties)),Chrome 131.0.0.0,,,02-01-2025 21:18:31,02-01-2025 21:18:31,0.250s,PASSED
